nation_name,confederation,fifa_ranking,group_letter
Mexico,Concacaf,11,A
South Korea,AFC,23,A
Czechia,UEFA,44,A
South Africa,CAF,61,A
Canada,Concacaf,27,B
Switzerland,UEFA,19,B
Bosnia and Herzegovina,UEFA,64,B
Qatar,AFC,57,B
Brazil,Conmebol,5,C
Morocco,CAF,6,C
Scotland,UEFA,41,C
Haiti,Concacaf,87,C
USA,Concacaf,13,D
Australia,AFC,25,D
Paraguay,Conmebol,37,D
Türkiye,UEFA,32,D
Germany,UEFA,8,E
Ivory Coast,CAF,31,E
Ecuador,Conmebol,30,E
Curaçao,Concacaf,81,E
Netherlands,UEFA,7,F
Sweden,UEFA,36,F
Japan,AFC,17,F
Tunisia,CAF,58,F
New Zealand,OFC,83,G
Iran,AFC,22,G
Belgium,UEFA,10,G
Egypt,CAF,28,G
Uruguay,Conmebol,18,H
Saudi Arabia,AFC,59,H
Spain,UEFA,3,H
Cabo Verde,CAF,63,H
Norway,UEFA,26,I
France,UEFA,2,I
Senegal,CAF,16,I
Iraq,AFC,60,I
Argentina,Conmebol,1,J
Austria,UEFA,21,J
Jordan,AFC,68,J
Algeria,CAF,29,J
Colombia,Conmebol,12,K
DR Congo,CAF,43,K
Portugal,UEFA,9,K
Uzbekistan,AFC,54,K
England,UEFA,4,L
Ghana,CAF,65,L
Panama,Concacaf,40,L
Croatia,UEFA,15,L