stadium_name,city,country,capacity
Mercedes-Benz Stadium,Atlanta,USA,68239
Gillette Stadium,Foxborough,USA,64176
AT&T Stadium,Dallas,USA,70649
NRG Stadium,Houston,USA,68777
GEHA Field at Arrowhead Stadium,Kansas City,USA,69045
SoFi Stadium,Los Angeles,USA,70492
Hard Rock Stadium,Miami,USA,64478
MetLife Stadium,East Rutherford,USA,80663
Lincoln Financial Field,Philidelphia,USA,68324
Levi's Stadium,San Francisco,USA,68827
Lumen Field,Seattle,USA,66925
Estadio Akron,Zapopan,Mexico,45664
Estadio Azteca,Mexico City,Mexico,80824
Estadio BBVA,Guadalupe,Mexico,51243
BMO Field,Toronto,Canada,43036
BC Place,Vancouver,Canada,52497